Start Date,End Date,Regime
2010-12-05,2010-12-26,LOW
2011-01-02,2011-01-16,MOM
2011-01-23,2011-03-20,LOW
2011-03-27,2011-03-27,MOM
2011-04-03,2011-06-12,LOW
2011-06-19,2011-06-26,MOM
2011-07-03,2011-10-23,LOW
2011-10-30,2011-11-06,MOM
2011-11-13,2011-12-18,LOW
2011-12-25,2011-12-25,MOM
2012-01-01,2012-01-15,LOW
2012-01-22,2012-01-22,MOM
2012-01-29,2012-02-19,LOW
2012-02-26,2012-02-26,MOM
2012-03-04,2012-03-11,LOW
2012-03-18,2012-03-18,MOM
2012-03-25,2012-07-15,LOW
2012-07-22,2012-07-29,MOM
2012-08-05,2012-09-09,LOW
2012-09-16,2012-09-16,MOM
2012-09-23,2012-09-30,LOW
2012-10-07,2012-10-07,MOM
2012-10-14,2012-12-09,LOW
2012-12-16,2012-12-16,MOM
2012-12-23,2013-01-13,LOW
2013-01-20,2013-01-20,MOM
2013-01-27,2013-02-24,LOW
2013-03-03,2013-04-21,MOM
2013-04-28,2013-05-26,LOW
2013-06-02,2013-06-02,MOM
2013-06-09,2013-09-01,LOW
2013-09-08,2013-09-08,MOM
2013-09-15,2013-10-06,LOW
2013-10-13,2013-10-13,MOM
2013-10-20,2013-12-15,LOW
2013-12-22,2013-12-22,MOM
2013-12-29,2014-01-12,LOW
2014-01-19,2014-01-19,MOM
2014-01-26,2014-05-04,LOW
2014-05-11,2014-05-11,MOM
2014-05-18,2014-07-06,LOW
2014-07-13,2014-07-20,MOM
2014-07-27,2014-12-07,LOW
2014-12-14,2014-12-28,MOM
2015-01-04,2015-02-01,LOW
2015-02-08,2015-02-08,MOM
2015-02-15,2015-04-05,LOW
2015-04-12,2015-04-19,MOM
2015-04-26,2015-06-28,LOW
2015-07-05,2015-07-05,MOM
2015-07-12,2015-11-08,LOW
2015-11-15,2015-12-13,MOM
2015-12-20,2016-04-10,LOW
2016-04-17,2016-05-29,MOM
2016-06-05,2016-07-03,LOW
2016-07-10,2017-05-14,MOM
2017-05-21,2017-06-04,LOW
2017-06-11,2017-12-31,MOM
2018-01-07,2019-02-03,LOW
2019-02-10,2020-02-23,MOM
2020-03-01,2020-06-28,LOW
2020-07-05,2020-08-16,MOM
2020-08-23,2020-12-06,LOW
2020-12-13,2021-01-10,MOM
2021-01-17,2021-07-25,LOW
2021-08-01,2021-08-15,MOM
2021-08-22,2022-03-20,LOW
2022-03-27,2022-03-27,MOM
2022-04-03,2022-05-22,LOW
2022-05-29,2022-05-29,MOM
2022-06-05,2022-10-02,LOW
2022-10-09,2022-10-09,MOM
2022-10-16,2022-10-16,LOW
2022-10-23,2022-11-27,MOM
2022-12-04,2023-08-20,LOW
2023-08-27,2023-09-03,MOM
2023-09-10,2023-10-08,LOW
2023-10-15,2023-10-15,MOM
2023-10-22,2023-10-29,LOW
2023-11-05,2023-11-05,MOM
2023-11-12,2023-12-03,LOW
2023-12-10,2023-12-10,MOM
2023-12-17,2024-05-26,LOW
2024-06-02,2024-06-23,MOM
2024-06-30,2024-09-08,LOW
2024-09-15,2024-09-15,MOM
2024-09-22,2024-11-24,LOW
